threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.81,0.947864052735211,0.989287936705485,0.9334815249758839,0.9605748689065838,0.021517857142857144,0.06651847502411609,10959,241,1586,22257,0.9196059855220328,0.9082185713984436,0.949991176211065,0.9286353491681851,0.11762162162162162,0.05000882378893497,32648,4352,2267,43065
0.82,0.946893816168707,0.9898823319664825,0.931468355492178,0.9597873765638842,0.020267857142857143,0.068531644507822,10973,227,1634,22209,0.9211485206238158,0.9122092035999321,0.9480278831730345,0.9297737008351001,0.11178378378378379,0.0519721168269655,32864,4136,2356,42976
0.83,0.9453813885797449,0.990384185339237,0.928742188482993,0.9585732219384442,0.019196428571428573,0.0712578115170071,10985,215,1699,22144,0.9226667638342322,0.91615935063548,0.9461307685520163,0.9309038818409715,0.10608108108108108,0.053869231447983765,33075,3925,2442,42890
0.84,0.9436977427731644,0.9907989228007181,0.9258482573501656,0.9572230774234113,0.01830357142857143,0.07415174264983433,10995,205,1768,22075,0.923504834086382,0.9195399828030955,0.9436380481778875,0.9314331751077821,0.10116216216216216,0.05636195182211241,33257,3743,2555,42777
0.85,0.9423850697714237,0.9913544668587896,0.9233737365264438,0.9561573038587653,0.017142857142857144,0.07662626347355618,11008,192,1827,22016,0.9245008016324151,0.9230952277938822,0.9412997441101209,0.9321086087507372,0.09608108108108109,0.058700255889879115,33445,3555,2661,42671
0.86,0.9409011785520646,0.9918669799385506,0.9206895105481693,0.9549537792278412,0.01607142857142857,0.07931048945183072,11020,180,1891,21952,0.9252538502647816,0.9269244180978119,0.9382114179828819,0.9325337660059638,0.09062162162162161,0.06178858201711815,33647,3353,2801,42531
0.87,0.9391033872670719,0.9924238987433652,0.9175019921989682,0.9534934402650046,0.014910714285714286,0.08249800780103175,11033,167,1967,21876,0.9260554826798815,0.9311390402531201,0.9348363187152563,0.932984016555854,0.0847027027027027,0.06516368128474367,33866,3134,2954,42378
0.88,0.9369060868076363,0.9929808568824066,0.9137272994170197,0.9517069654675316,0.01375,0.08627270058298032,11046,154,2057,21786,0.9264684448331147,0.9349145185578882,0.9312847436689314,0.9330961011404827,0.07943243243243243,0.06871525633106856,34061,2939,3115,42217
0.89,0.934337813543361,0.99340357306459,0.9095331963259657,0.9496201256760012,0.012857142857142857,0.09046680367403431,11056,144,2157,21686,0.9274644123791479,0.9392268892559033,0.9283287743757169,0.9337460338591936,0.0735945945945946,0.07167122562428306,34277,2723,3249,42083
0.9,0.9319692948663071,0.9940599530321867,0.9054229752967328,0.9476733977172959,0.011517857142857142,0.0945770247032672,11071,129,2255,21588,0.9282660447942477,0.9439864864864865,0.9245786640783552,0.934181785762047,0.06721621621621622,0.07542133592164475,34513,2487,3419,41913
0.91,0.9291727306452073,0.9945362781867852,0.900851402927484,0.9453785211267606,0.010535714285714285,0.09914859707251604,11082,118,2364,21479,0.9291769907204975,0.9488035994273638,0.9210712079767052,0.9347317520903525,0.06089189189189189,0.07892879202329481,34747,2253,3578,41754
0.92,0.9263476300545045,0.9950176941702366,0.8962378895273245,0.9430481696418721,0.009553571428571429,0.10376211047267542,11093,107,2474,21369,0.9297478501676141,0.9539902654054551,0.916615194564546,0.9349293492934929,0.054162162162162165,0.08338480543545398,34996,2004,3780,41552
0.93,0.9231230202893588,0.995501616606532,0.8910372016944177,0.9403771246458924,0.008571428571428572,0.10896279830558235,11104,96,2598,21245,0.9296749744935141,0.959022102526003,0.9112106238418777,0.934505226007873,0.0477027027027027,0.0887893761581223,35235,1765,4025,41307
0.94,0.9185857375224724,0.9958423887366531,0.8840330495323575,0.936612677464507,0.007857142857142858,0.1159669504676425,11112,88,2765,21078,0.9295899528737307,0.9641456714175022,0.9058060531192094,0.9340658090786047,0.04127027027027027,0.09419394688079061,35473,1527,4270,41062
0.95,0.9146762548868533,0.9964290815597772,0.8777418948957766,0.9333273870579316,0.006696428571428571,0.12225810510422346,11125,75,2915,20928,0.9288854880240975,0.9694166329758139,0.8992102708903204,0.9329945869239308,0.034756756756756754,0.10078972910967969,35714,1286,4569,40763
0.96,0.9095111719886996,0.9970664614792729,0.8695633938682212,0.928960279588682,0.005446428571428572,0.1304366061317787,11139,61,3110,20733,0.9280352718262644,0.9758954665120885,0.8913129797935233,0.9316884763936127,0.026972972972972974,0.10868702020647666,36002,998,4927,40405
0.97,0.9027480523927746,0.9979531166236172,0.8588264899551231,0.9231774942518371,0.00375,0.1411735100448769,11158,42,3366,20477,0.9257882718748481,0.9829106131494706,0.8805258978205242,0.9289055409462196,0.018756756756756757,0.11947410217947586,36306,694,5416,39916
0.98,0.8936164141197956,0.9988591835722435,0.8446084804764501,0.9152804290519043,0.0020535714285714285,0.15539151952354988,11177,23,3705,20138,0.9214643152115823,0.9897923177739691,0.8662975381628871,0.9239365706757011,0.010945945945945945,0.13370246183711285,36595,405,6061,39271
0.99,0.878320920012556,0.9993369038510584,0.8217086775992954,0.9018596943472657,0.0011607142857142858,0.1782913224007046,11187,13,4251,19592,0.9103143370742846,0.9958189610118114,0.8406423718344658,0.9116746411483253,0.004324324324324324,0.15935762816553428,36840,160,7224,38108
